GeneID	GSM4318505	GSM4318506	GSM4318507	GSM4318508	GSM4318509	GSM4318510
29914	19.93	19.46	14.97	15.54	18.08	15.45
105376737	0	0.03371	0	0.03428	0	0
105376739	0	0.1928	0	0	0	0
105376740	0	0	0	0.07099	0.2078	0.1263
57540	1.698	1.842	1.221	1.204	1.462	1.063
112268221	0.2412	0.4493	0.2341	0.2193	0.3032	0.2438
101929181	0.09824	0	0.2503	0.3647	0.2034	0.417
26232	2.354	2.046	1.583	1.664	1.066	1.758
93611	19.96	20.91	17.24	15.53	17.85	16.17
26270	6.646	8.879	6.061	5.903	7.217	6.702
10459	134.3	144.6	158.7	160	160	164.1
374946	6.695	7.949	7.395	7.703	10.43	8.941
57085	22.64	25.61	20.69	22.08	21.05	22.89
284498	2.746	2.972	2.05	2.862	2.92	2.572
102724659	0	0.03525	0	0	0	0
4524	9.554	10.95	7.645	9.168	9.815	8.891
1185	12.57	14.3	9.475	11.89	12.38	11.44
100379251	5.886	7.527	4.87	5.881	5.935	5.732
4878	1.846	3.85	1.505	1.722	2.521	2.089
4879	0	0	0	0	0	0.0841
26829	0.5304	1.107	0.4504	0	0.549	1.001
90231	53.49	60.14	49.76	48.4	53.28	47.9
5351	20.96	28.22	20.76	24.27	24.29	24.58
9927	53.53	58.95	51.44	57.48	56.88	58.84
60672	38.73	49.75	34.64	31.34	32.07	33.79
102466982	4.855	12.15	3.299	2.06	2.01	2.748
943	25.3	31.97	29.75	39.54	33.44	39.2
102465836	0	0	0	0	0	0
7133	0.3542	0.4459	1.608	3.199	2.06	3.111
100616438	0	0	1.757	1.097	0	0
107984917	0	0	0	0	0.02744	0.1
55187	10.14	10.67	7.449	8.165	10.3	8.176
677885	6.229	11.69	5.29	4.404	5.157	2.742
105376744	0.01522	0.03174	0.01292	0.06455	0.0315	0.02871
9249	2.276	2.509	1.368	1.344	1.134	1.357
102466722	0	0.9827	0.8	0	0	0
343066	0	0	0.02578	0	0	0
126767	0	0	0	0	0	0
93190	0	0	0	0	0	0
390999	0	0	0	0	0	0
65121	0	0	0	0	0	0
105376745	0	0	0	0	0	0
440560	0	0	0	0	0	0
343069	0.3776	0.2814	0.4581	0.4577	0.3908	0.5089
65122	0	0	0	0	0	0
400735	0	0	0	0	0	0
343071	0	0	0	0	0	0
441871	0	0	0	0	0	0
440561	0	0	0	0	0	0
101929983	0	0	0	0	0	0
649330	0	0	0	0.06654	0.06494	0
441873	0	0	0	0	0	0
649324	0	0	0	0	0	0
440563	0	0	0	0.05791	0.05651	0.05151
645354	0	0	0	0	0	0
645359	0	0	0	0	0	0
101060301	0.06802	0	0	0	0	0
343070	0	0	0	0	0	0
400736	0	0	0	0	0	0
391003	0	0	0	0	0	0
343068	0	0	0	0	0	0
391002	0	0	0	0	0	0
645382	0	0	0	0	0	0
653619	0	0	0.02874	0	0	0
729528	0	0	0	0	0	0
645414	0	0	0	0	0	0
391004	0	0	0	0	0	0
645425	0	0	0	0	0	0
126755	4.134	4.616	1.187	1.019	0.9944	0.9063
102724856	7.099	10.92	5.491	6.426	5.382	6.291
107984918	0.2503	0.8876	0.255	0.2123	0.2072	0.09444
10630	0	0	0	0	0.02079	0
107984919	0	0	0	0	0	0
105378612	0	0	0	0	0	0
105376756	0	0	0	0	0	0
7799	14.35	12.78	11.85	12.97	14.4	11.48
23254	1.304	1.69	1.223	1.457	1.491	1.653
107985467	0	0	0	0.01581	0.01543	0
107985468	0	0	0	0	0	0.1435
105376762	0.4555	0.3696	1.032	0.2147	0.5239	0.4775
105376759	0	0	0	0	0	0
107985469	0	0	0	0	0	0.02576
200197	0.02713	0.07547	0.06913	0.04796	0.0468	0.06825
55092	0.08991	0.09379	0.09545	0.1192	0.06979	0.0212
727684	0	0	0.0642	0	0	0.03565
114827	0.08953	0.04245	0.07603	0.164	0.1011	0.1612
101927417	0	0.02116	0.05167	0.04302	0.08397	0
101927441	0.05351	0.03721	0.2272	0.2081	0.2584	0.2355
79180	93.9	116.6	162.2	176.4	164.3	178.4
11330	0.0181	0.1133	0.1383	0	0.09364	0.03414
63036	0.06891	0.1438	0	0.07308	0.07132	0.065
105376767	0.1518	0	0	0.05368	0.05239	0.0955
51032	1.035	0.5037	0.3515	0.7316	0.6426	0.1301
842	7.227	7.758	6.342	6.055	6.935	5.839
23341	10.06	8.969	7.503	8.844	8.807	7.905
107397391	0	0	0	0	0.47	0
79814	0.2243	0.234	0.2078	0.1514	0.3588	0.1347
84301	28.4	25.47	21.46	21.75	27.07	19.5
6248	18.52	16.98	13.09	14.99	17.67	12.89
23207	45.43	55.49	43.34	48.83	49.02	49.97
284723	1.285	1.445	1.188	1.212	1.005	1.051
110806303	0.5983	0.8321	0.1694	0.3173	0.6192	0.4703
388595	0	0	0	0.04639	0	0
54751	0.6943	0.553	0.3859	0.2678	0.2744	0.3096
440567	68.28	61.19	68.55	64.45	60.23	70.28
729614	5.984	7.784	4.552	4.803	4.806	4.075
23013	46.51	43.09	31.97	37.05	44.56	32.97
7709	33.64	40.83	30.94	30.23	31.02	30.35
149563	0	0	0	0	0	0
27129	0	0	0	0	0	0
1187	0	0	0	0	0	0.0239
1188	0.04297	0	0	0	0.04447	0
348487	0.3303	0.2297	0.2805	0.2335	0.1519	0.1385
1969	0.02956	0.03084	0.03766	0	0.0306	0.01394
101927479	0.01204	0	0	0	0	0
128272	16.64	18.08	12.23	13.92	13.01	13.8
